iter	RMSE
0	9.338264132
1	9.213736034
2	9.131996315
3	8.991067784
4	8.852854263
5	8.742193583
6	8.653133405
7	8.490952274
8	8.404425168
9	8.294097728
10	8.176443546
11	8.054178836
12	7.939220345
13	7.865301251
14	7.754830525
15	7.655011805
16	7.490839186
17	7.376685444
18	7.305388247
19	7.21518065
20	7.111130189
21	7.055638893
22	6.981422908
23	6.8836175
24	6.824329188
25	6.781515944
26	6.6800873
27	6.616598596
28	6.523825029
29	6.420014541
30	6.348910096
31	6.270202854
32	6.188172044
33	6.108465567
34	5.991441107
35	5.922825381
36	5.857830212
37	5.798401995
38	5.728816944
39	5.676447126
40	5.620898979
41	5.557698553
42	5.48822732
43	5.421333791
44	5.361992185
45	5.283460777
46	5.18767006
47	5.124137024
48	5.053543947
49	4.976757623
50	4.902687332
51	4.841813147
52	4.784599798
53	4.711079668
54	4.638006869
55	4.580031783
56	4.515548003
57	4.458220734
58	4.392112216
59	4.334643132
60	4.281918449
61	4.222086297
62	4.169795707
63	4.100057598
64	4.048806877
65	3.988626821
66	3.950178811
67	3.900801575
68	3.845843701
69	3.777507437
70	3.728904718
71	3.682293408
72	3.636718252
73	3.589743328
74	3.545303921
75	3.497850912
76	3.448367729
77	3.381894277
78	3.334772775
79	3.296215896
80	3.269011084
81	3.221560108
82	3.171618803
83	3.096143804
84	3.055637298
85	3.007210923
86	2.967866337
87	2.926292842
88	2.88219432
89	2.836220683
90	2.794412217
91	2.745487479
92	2.711168885
93	2.677279274
94	2.632651421
95	2.602069168
96	2.569905527
97	2.537781707
98	2.506059435
99	2.473371399
100	2.442454256
101	2.411923578
102	2.381774533
103	2.348765402
104	2.319405834
105	2.290413261
106	2.260562479
107	2.232305447
108	2.204401629
109	2.176846608
110	2.149636025
111	2.113694947
112	2.08727376
113	2.061182837
114	2.03682125
115	2.01061248
116	1.985479824
117	1.960661325
118	1.936153059
119	1.911951145
120	1.888051755
121	1.864451108
122	1.841145469
123	1.81813115
124	1.79572662
125	1.773280037
126	1.751114036
127	1.72922511
128	1.707609796
129	1.686264673
130	1.665186365
131	1.644371535
132	1.62381689
133	1.603519179
134	1.583475189
135	1.563681749
136	1.544135727
137	1.52483403
138	1.505773604
139	1.486951434
140	1.468364541
141	1.450009983
142	1.431884858
143	1.413986297
144	1.396311468
145	1.378857575
146	1.361621855
147	1.344601581
148	1.327794061
149	1.311196635
150	1.294806677
151	1.278621594
152	1.262638823
153	1.246855838
154	1.23127014
155	1.215879263
156	1.200680772
157	1.185672262
158	1.170851358
159	1.156215716
160	1.141763019
161	1.127490981
162	1.113397344
163	1.099479877
164	1.085736378
165	1.072164673
166	1.058762615
167	1.045528082
168	1.032458981
169	1.019553243
170	1.006808827
171	0.994223717
172	0.9817959203
173	0.9695234711
174	0.9574044275
175	0.945436872
176	0.9336189109
177	0.9219486744
178	0.9104243158
179	0.8990440117
180	0.8878059614
181	0.8767083867
182	0.8657495317
183	0.8549276624
184	0.8442410664
185	0.8336880529
186	0.8232669521
187	0.8129761151
188	0.8028139135
189	0.7927787394
190	0.782869005
191	0.7730831423
192	0.7634196029
193	0.7538768577
194	0.7444533969
195	0.7351477293
196	0.7259583825
197	0.7168839026
198	0.7079228537
199	0.6990738179
200	0.690335395
201	0.6817062024
202	0.6731848748
203	0.6647700637
204	0.6564604378
205	0.6482546822
206	0.6401514986
207	0.6321496047
208	0.6242477345
209	0.6164446377
210	0.6087390797
211	0.601129841
212	0.5936157179
213	0.5861955213
214	0.5788680772
215	0.5716322261
216	0.5644868232
217	0.5574307378
218	0.5504628535
219	0.5435820677
220	0.5367872918
221	0.5300774505
222	0.5234514823
223	0.5169083387
224	0.5104469843
225	0.5040663969
226	0.4977655669
227	0.4915434972
228	0.4853992034
229	0.4793317133
230	0.4733400667
231	0.4674233158
232	0.4615805243
233	0.4558107677
234	0.450113133
235	0.4444867187
236	0.4389306347
237	0.4334440016
238	0.4280259515
239	0.4226756271
240	0.4173921817
241	0.4121747793
242	0.4070225945
243	0.401934812
244	0.3969106268
245	0.3919492438
246	0.3870498782
247	0.3822117547
248	0.3774341077
249	0.3727161813
250	0.3680572289
251	0.3634565135
252	0.358913307
253	0.3544268906
254	0.3499965544
255	0.3456215974
256	0.3413013274
257	0.3370350607
258	0.3328221224
259	0.3286618458
260	0.3245535727
261	0.320496653
262	0.3164904447
263	0.3125343141
264	0.3086276351
265	0.3047697896
266	0.3009601672
267	0.2971981651
268	0.2934831879
269	0.289814648
270	0.2861919649
271	0.2826145653
272	0.2790818831
273	0.2755933596
274	0.2721484425
275	0.2687465869
276	0.2653872545
277	0.2620699138
278	0.2587940398
279	0.2555591143
280	0.2523646253
281	0.2492100675
282	0.2460949416
283	0.2430187547
284	0.2399810203
285	0.2369812575
286	0.2340189917
287	0.2310937543
288	0.2282050823
289	0.2253525187
290	0.2225356122
291	0.219753917
292	0.217006993
293	0.2142944055
294	0.2116157254
295	0.2089705288
296	0.2063583972
297	0.2037789172
298	0.2012316807
299	0.1987162846
