iter	Passed	Remaining
0	0	70
1	0	79
2	0	80
3	1	81
4	1	76
5	1	76
6	1	76
7	5	200
8	5	187
9	6	176
10	6	165
11	6	155
12	6	148
13	6	140
14	7	135
15	7	131
16	7	125
17	7	122
18	8	119
19	8	117
20	8	113
21	8	113
22	9	111
23	9	113
24	10	111
25	10	108
26	10	105
27	10	104
28	10	102
29	11	101
30	11	100
31	11	98
32	12	97
33	12	97
34	12	96
35	13	95
36	13	94
37	13	93
38	13	92
39	14	91
40	14	89
41	14	88
42	20	125
43	21	123
44	21	121
45	21	120
46	21	118
47	22	116
48	22	115
49	22	114
50	23	112
51	29	140
52	29	138
53	30	137
54	30	135
55	30	133
56	30	132
57	31	130
58	31	128
59	36	146
60	36	144
61	37	142
62	37	140
63	37	138
64	37	137
65	38	135
66	38	133
67	38	132
68	39	130
69	43	142
70	43	141
71	44	139
72	44	138
73	44	136
74	45	135
75	45	133
76	45	132
77	49	140
78	50	140
79	50	138
80	50	137
81	51	136
82	51	135
83	51	133
84	52	131
85	52	130
86	55	136
87	56	135
88	56	133
89	56	132
90	57	130
91	57	129
92	57	127
93	57	126
94	58	125
95	58	123
96	58	122
97	62	127
98	62	126
99	62	125
100	62	124
101	63	122
102	63	121
103	63	120
104	64	119
105	66	122
106	67	120
107	67	119
108	67	118
109	70	121
110	70	120
111	70	118
112	71	117
113	71	116
114	71	115
115	74	118
116	75	117
117	75	116
118	75	115
119	76	114
120	76	112
121	76	111
122	76	110
123	77	109
124	77	108
125	77	107
126	78	106
127	78	105
128	78	104
129	79	103
130	79	102
131	79	101
132	83	104
133	83	103
134	84	102
135	84	101
136	84	100
137	85	99
138	85	98
139	87	99
140	87	98
141	88	98
142	88	97
143	88	96
144	89	95
145	89	94
146	89	93
147	89	92
148	90	91
149	90	90
150	90	89
151	91	88
152	91	88
153	91	87
154	92	86
155	92	85
156	92	84
157	93	83
158	93	83
159	93	82
160	94	81
161	94	80
162	95	79
163	95	79
164	95	78
165	96	77
166	96	76
167	96	76
168	97	75
169	97	74
170	97	73
171	98	73
172	98	72
173	98	71
174	99	70
175	99	70
176	99	69
177	100	68
178	100	67
179	100	66
180	100	66
181	100	65
182	101	64
183	101	63
184	101	63
185	101	62
186	102	61
187	102	61
188	102	60
189	102	59
190	103	58
191	103	58
192	103	57
193	103	56
194	104	56
195	104	55
196	104	54
197	104	54
198	105	53
199	105	52
200	105	52
201	106	51
202	106	50
203	106	50
204	106	49
205	107	48
206	107	48
207	107	47
208	107	47
209	108	46
210	108	45
211	108	45
212	108	44
213	108	43
214	109	43
215	109	42
216	109	41
217	109	41
218	109	40
219	110	40
220	110	39
221	110	38
222	110	38
223	110	37
224	111	37
225	111	36
226	111	35
227	111	35
228	111	34
229	111	34
230	112	33
231	112	32
232	112	32
233	112	31
234	112	31
235	113	30
236	113	30
237	113	29
238	113	29
239	113	28
240	114	27
241	114	27
242	114	26
243	114	26
244	114	25
245	115	25
246	115	24
247	115	24
248	115	23
249	115	23
250	115	22
251	116	22
252	116	21
253	116	21
254	116	20
255	116	20
256	117	19
257	117	19
258	117	18
259	117	18
260	117	17
261	118	17
262	118	16
263	118	16
264	118	15
265	118	15
266	118	14
267	119	14
268	119	13
269	119	13
270	119	12
271	119	12
272	120	11
273	120	11
274	120	10
275	120	10
276	120	10
277	121	9
278	121	9
279	121	8
280	121	8
281	122	7
282	122	7
283	122	6
284	122	6
285	122	6
286	122	5
287	123	5
288	123	4
289	123	4
290	123	3
291	123	3
292	124	2
293	124	2
294	124	2
295	124	1
296	124	1
297	125	0
298	125	0
299	125	0
